City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Kijang,KR,2020-12-23 17:21:44,35.24,129.21,37.4,69,89,2.24
271,Haghartsin,AM,2020-12-23 17:21:44,40.78,44.97,29.05,92,100,0.76
272,Pali,IN,2020-12-23 17:20:15,25.77,73.33,59.32,32,0,4.09
273,Sawakin,SD,2020-12-23 17:21:45,19.11,37.33,78.6,82,54,13.33
274,Mtimbira,TZ,2020-12-23 17:21:45,-8.78,36.35,81.25,61,17,5.37
275,Kirakira,SB,2020-12-23 17:21:45,-10.45,161.92,78.24,80,80,4.09
276,Vao,NC,2020-12-23 17:21:45,-22.67,167.48,75.47,74,3,4.21
277,Bayburt,TR,2020-12-23 17:21:45,40.26,40.23,20.25,94,98,3.47
278,Nanortalik,GL,2020-12-23 17:21:46,60.14,-45.24,37.63,88,100,28.07
279,Muros,ES,2020-12-23 17:21:46,42.78,-9.06,53.01,70,97,11.61
280,Nanakuli,US,2020-12-23 17:21:46,21.39,-158.15,68.0,88,1,4.7
281,Zhigansk,RU,2020-12-23 17:21:46,66.77,123.37,-42.47,78,73,5.26
282,Flin Flon,CA,2020-12-23 17:21:46,54.77,-101.86,-25.6,74,5,4.7
283,Omsukchan,RU,2020-12-23 17:21:47,62.53,155.8,-41.44,74,98,5.41
284,Catamarca,AR,2020-12-23 17:21:47,-28.47,-65.79,84.99,37,0,1.99
285,Black River,JM,2020-12-23 17:21:47,18.03,-77.85,84.99,66,40,19.46
286,Altay,CN,2020-12-23 17:21:47,47.87,88.12,5.25,82,90,2.44
287,Chuy,UY,2020-12-23 17:21:48,-33.7,-53.46,77.59,52,0,10.96
288,Ziyang,CN,2020-12-23 17:21:48,29.25,117.85,43.63,90,81,1.5
289,Lilongwe,MW,2020-12-23 17:20:48,-13.97,33.79,76.21,64,98,6.33
290,Beni Mazar,EG,2020-12-23 17:19:20,28.5,30.8,60.66,60,71,14.76
291,Caravelas,BR,2020-12-23 17:21:49,-17.71,-39.25,86.49,53,54,11.7
292,Dudinka,RU,2020-12-23 17:21:49,69.41,86.18,-43.6,64,0,2.24
293,Hit,IQ,2020-12-23 17:21:49,33.64,42.83,58.12,51,0,8.86
294,Villa Maria,AR,2020-12-23 17:21:49,-32.41,-63.24,89.01,32,0,1.99
295,Jonesboro,US,2020-12-23 17:17:35,35.84,-90.7,53.6,76,90,24.16
