City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Amapa,BR,1.0,-52.0,76.87,79,100,5.44,overcast clouds
153,Zhumadian,CN,32.98,114.03,43.43,55,0,5.95,clear sky
154,Fortuna,US,40.6,-124.16,45.0,93,1,5.82,clear sky
155,Banfora,BF,10.63,-4.77,73.58,21,0,4.56,clear sky
156,Vaini,TO,-21.2,-175.2,84.2,79,40,12.75,light rain
157,Sechura,PE,-5.56,-80.82,70.66,75,100,14.38,overcast clouds
158,Dong Hoi,VN,17.48,106.6,67.93,91,100,12.01,light rain
159,Margate,GB,51.38,1.39,48.0,81,89,11.01,overcast clouds
160,Leningradskiy,RU,69.38,178.42,2.97,93,100,6.08,light snow
161,Meadow Lake,US,34.8,-106.54,30.99,26,1,18.34,clear sky
162,Saint Anthony,US,45.02,-93.22,12.2,85,90,20.8,snow
163,Semey,KZ,50.41,80.23,19.4,85,90,15.66,overcast clouds
164,Canakkale,TR,40.08,26.83,54.0,93,40,1.12,scattered clouds
165,Port Blair,IN,11.67,92.75,78.12,75,46,7.76,scattered clouds
166,Bunbury,AU,-33.33,115.63,86.74,26,0,15.19,clear sky
167,Vila Franca Do Campo,PT,37.72,-25.43,55.4,62,40,20.8,scattered clouds
168,Normandin,CA,48.83,-72.53,12.2,85,100,11.41,light snow
169,Nazarovo,RU,56.01,90.39,8.22,95,100,7.87,overcast clouds
170,Chihuahua,MX,28.5,-106.0,55.99,25,50,3.0,scattered clouds
171,Sitka,US,57.05,-135.33,41.0,93,90,4.7,moderate rain
172,Bonavista,CA,48.65,-53.11,28.4,74,95,8.05,overcast clouds
173,Hilo,US,19.73,-155.09,82.4,51,40,9.17,scattered clouds
174,Korsakov,RU,46.63,142.78,24.8,85,40,11.18,scattered clouds
175,Maniitsoq,GL,65.42,-52.9,32.68,97,100,9.35,snow
176,Imeni Poliny Osipenko,RU,52.42,136.49,-11.52,85,0,3.62,clear sky
177,Viedma,AR,-40.81,-63.0,69.01,61,10,15.93,clear sky
178,Pafos,CY,34.77,32.42,50.0,76,10,8.05,clear sky
179,Lapeer,US,43.05,-83.32,48.99,61,90,16.11,overcast clouds
180,Ornskoldsvik,SE,63.29,18.72,32.0,96,45,9.17,scattered clouds
181,Dibulla,CO,11.27,-73.31,77.54,76,3,11.16,clear sky
182,Saint Johnsbury,US,44.42,-72.02,26.6,73,100,4.7,overcast clouds
183,Necochea,AR,-38.55,-58.74,73.99,49,0,4.41,clear sky
184,Solnechnyy,RU,50.72,136.63,-1.93,86,14,4.88,few clouds
185,Tiarei,PF,-17.53,-149.33,84.2,70,40,3.36,light rain
186,Coruripe,BR,-10.13,-36.18,76.55,84,99,10.83,overcast clouds
187,San Cristobal,VE,7.77,-72.22,65.77,92,100,2.13,overcast clouds
188,Olafsvik,IS,64.89,-23.71,39.94,82,100,22.21,moderate rain
189,Adrar,MR,20.5,-10.07,56.12,39,0,10.31,clear sky
190,Voyvozh,RU,62.89,54.96,-20.04,87,0,4.81,clear sky
191,Alblasserdam,NL,51.86,4.66,46.99,87,40,14.99,scattered clouds
192,Umm Lajj,SA,25.02,37.27,71.44,69,96,8.59,overcast clouds
193,Kaeo,NZ,-35.1,173.78,75.99,54,29,18.01,scattered clouds
194,Batemans Bay,AU,-35.72,150.18,80.01,36,25,3.0,scattered clouds
195,Narasannapeta,IN,18.42,84.05,64.62,69,0,6.26,clear sky
196,Arandis,NA,-22.42,14.97,63.0,90,0,1.9,clear sky
197,Sajkas,RS,45.27,20.09,46.4,100,100,2.24,mist
198,Hakkari,TR,37.58,44.17,18.9,93,95,3.74,overcast clouds
199,Biak,ID,-0.91,122.88,80.91,76,100,2.08,overcast clouds
200,Clyde River,CA,70.47,-68.59,-7.6,76,0,6.93,clear sky
201,Baran,IN,25.1,76.52,54.28,47,0,3.87,clear sky
202,Cacheu,GW,12.27,-16.17,66.2,93,0,4.34,clear sky
203,Okha,RU,53.57,142.95,-10.39,88,3,11.3,clear sky
204,Faanui,PF,-16.48,-151.75,80.62,77,81,11.36,light rain
205,Puerto Ayora,EC,-0.74,-90.35,73.0,92,51,5.01,broken clouds
206,Castro,BR,-24.79,-50.01,63.03,91,68,12.08,broken clouds
207,Mufulira,ZM,-12.55,28.24,66.0,90,98,1.99,overcast clouds
208,Lichuan,CN,30.3,108.85,39.31,78,93,1.79,overcast clouds
209,Ilulissat,GL,69.22,-51.1,28.4,86,100,10.29,light snow
210,Sehithwa,BW,-20.47,22.72,78.6,69,99,4.05,light rain
211,Hattiesburg,US,31.33,-89.29,64.4,77,90,12.75,overcast clouds
212,Vao,NC,-22.67,167.48,76.73,71,69,7.23,broken clouds
213,Bisira,PA,8.52,-81.71,59.59,100,100,6.58,overcast clouds
214,Sidi Ali,DZ,36.1,0.42,53.58,64,0,4.47,clear sky
215,Isangel,VU,-19.55,169.27,87.8,89,75,3.36,broken clouds
216,Preobrazheniye,RU,42.9,133.91,26.91,83,0,10.76,clear sky
217,Dunedin,NZ,-45.87,170.5,62.01,74,96,5.01,overcast clouds
218,Bengkulu,ID,-3.8,102.27,83.01,66,91,3.24,overcast clouds
219,Mumford,GH,5.26,-0.76,79.07,88,0,8.28,clear sky
220,Ambilobe,MG,-13.2,49.05,73.65,88,47,1.21,scattered clouds
221,Constitucion,CL,-35.33,-72.42,56.82,78,0,16.69,clear sky
222,Sunbury,AU,-37.58,144.73,66.0,42,75,17.22,broken clouds
223,Puerto Del Rosario,ES,28.5,-13.86,68.0,64,0,19.46,clear sky
224,Chikhli,IN,20.35,76.25,58.1,43,0,4.97,clear sky
225,Corinto,GR,37.94,22.96,48.99,93,20,5.14,few clouds
226,Bubaque,GW,11.28,-15.83,79.88,59,51,8.79,broken clouds
227,Avarua,CK,-21.21,-159.78,71.6,94,100,3.36,light rain
228,Faya,SA,18.39,42.45,55.4,93,2,0.25,clear sky
229,Marystown,CA,47.17,-55.15,30.33,92,8,17.13,clear sky
230,Markova,UA,48.68,24.41,39.92,88,100,4.56,overcast clouds
231,San Rafael,AR,-34.62,-68.33,83.34,28,0,6.33,clear sky
232,Husavik,IS,66.04,-17.34,33.8,64,0,9.17,clear sky
233,San Carlos De Bariloche,AR,-41.15,-71.31,57.2,50,0,21.92,clear sky
234,Fredericksburg,US,38.3,-77.46,44.01,75,1,6.93,clear sky
235,Dubrovnik,HR,42.65,18.09,53.6,71,90,9.17,overcast clouds
236,Merrill,US,45.18,-89.68,30.2,74,90,11.41,overcast clouds
237,Sulmona,IT,42.05,13.93,53.01,94,100,5.57,overcast clouds
238,Noumea,NC,-22.28,166.46,89.6,52,0,11.41,clear sky
239,Mangan,IN,27.52,88.53,60.42,31,11,3.31,few clouds
240,Porbandar,IN,21.64,69.61,65.41,39,0,10.04,clear sky
241,Chumikan,RU,54.72,135.31,-15.79,81,0,15.32,clear sky
242,Port Hedland,AU,-20.32,118.57,96.8,20,66,11.41,broken clouds
243,Frontera,MX,26.93,-101.45,73.4,17,75,4.12,broken clouds
244,Luderitz,NA,-26.65,15.16,65.66,54,0,21.85,clear sky
245,Yantzaza,EC,-3.83,-78.76,68.63,83,73,0.72,broken clouds
246,Payakumbuh,ID,-0.22,100.63,73.13,86,100,1.97,heavy intensity rain
247,Gorele,TR,41.03,39.0,41.0,80,75,11.41,light intensity shower rain
248,La Ronge,CA,55.1,-105.28,-5.8,76,3,4.7,clear sky
249,Hithadhoo,MV,-0.6,73.08,81.18,77,84,13.69,broken clouds
250,Swift Current,CA,50.28,-107.8,15.8,78,75,17.22,broken clouds
