City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Sao Raimundo Nonato,BR,75.83,broken clouds,-9.02,-42.7,Real Hotel
390,Cartagena,CO,80.6,few clouds,10.4,-75.51,Costa Del Sol
394,Cap Malheureux,MU,75.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
395,Cayenne,GF,78.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
398,Alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
399,Lima,PE,69.8,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
401,Mount Isa,AU,87.8,few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
402,Santiago,CL,69.8,clear sky,-33.46,-70.65,Hotel Panamericano
405,Cajaruro,PE,77.86,overcast clouds,-5.74,-78.43,Hotel Kuelap
406,Ituporanga,BR,72.0,overcast clouds,-27.41,-49.6,Hotel Jacaré
408,Santa Cecilia,BR,61.65,broken clouds,-26.96,-50.43,Hotel Italiano
410,Pouembout,NC,84.4,broken clouds,-21.13,164.9,Camping de Tipenga
412,Port-Gentil,GA,79.47,light rain,-0.72,8.78,Fengshui Residence
414,Wanaka,NZ,64.42,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
415,Lorengau,PG,83.62,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
421,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
422,Sa Kaeo,TH,76.3,broken clouds,13.75,102.33,บ้านร่มฉัตร รีสอร์ท
423,Miramar,US,75.2,broken clouds,25.99,-80.23,Stadium Hotel
427,Alyangula,AU,87.8,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
431,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
432,Norsup,VU,86.0,light rain,-16.07,167.38,Nabelchel Bungalows
434,Los Llanos De Aridane,ES,62.6,clear sky,28.66,-17.92,Valle Aridane
435,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
436,Piacabucu,BR,76.96,overcast clouds,-10.41,-36.43,Piaçabuçu News
